,Store,Department,RMSE,Accuracy
847,11,40,2081.71,0.9618
848,11,41,731.23,0.2943
849,11,42,920.7,0.8624
850,11,44,1110.65,0.8226
851,11,45,error,error
852,11,46,2079.11,0.9265
853,11,47,error,error
854,11,48,error,error
855,11,49,2195.65,0.7386
856,11,51,error,error
857,11,52,1440.62,0.5082
858,11,54,error,error
859,11,55,1257.91,0.8547
860,11,56,1942.35,0.2856
861,11,58,error,error
862,11,59,610.59,-0.7863
863,11,60,error,error
864,11,67,3506.6,0.6392
865,11,71,1521.49,0.8571
866,11,72,11240.01,0.8288
867,11,74,1869.42,0.9153
868,11,77,error,error
869,11,78,error,error
870,11,79,3628.77,0.8859
871,11,80,917.69,0.9367
872,11,81,730.08,0.9452
873,11,82,2713.68,0.8828
874,11,83,410.23,0.8763
875,11,85,363.29,0.7882
876,11,87,2148.87,0.8752
877,11,90,2419.4,0.9513
878,11,91,2475.83,0.9412
879,11,92,5689.31,0.9283
880,11,93,3438.1,0.9
881,11,94,7599.98,0.8118
882,11,95,3738.55,0.9538
883,11,96,1768.41,0.9207
884,11,97,error,error
885,11,98,1498.41,0.8228
886,11,99,error,error
887,11,39,error,error
888,11,50,error,error
889,11,43,error,error
890,11,65,error,error
891,12,1,8783.3,0.4434
892,12,2,6450.53,0.9172
893,12,3,error,error
894,12,4,3238.0,0.8799
895,12,5,error,error
896,12,6,1908.19,0.6032
897,12,7,20632.22,0.3153
898,12,8,2954.06,0.9294
899,12,9,2360.24,0.8877
900,12,10,2547.86,0.8668
901,12,11,5090.67,0.7182
902,12,12,849.82,0.8225
903,12,13,2421.34,0.9477
904,12,14,3245.67,0.8236
905,12,16,3538.87,0.6063
906,12,17,1263.57,0.888
907,12,18,error,error
908,12,19,886.45,0.692
909,12,20,755.16,0.8896
910,12,21,482.32,0.8822
911,12,22,2523.39,0.7211
912,12,23,6445.05,0.8336
913,12,24,1294.05,0.8855
914,12,25,2273.14,0.8874
915,12,26,2230.04,0.828
916,12,27,387.05,0.77
917,12,28,126.78,0.8187
918,12,29,943.21,0.8596
919,12,30,2909.09,0.4887
920,12,31,3762.45,-0.0306
921,12,32,1409.56,0.8369
922,12,33,2368.79,0.7699
923,12,34,3975.12,0.8364
924,12,35,580.93,0.7937
925,12,36,3.3388761856412332e+28,-1.4120920588295723e+25
926,12,37,error,error
927,12,38,12324.66,0.7894
928,12,40,2347.43,0.9526
929,12,41,1659.17,-0.9728
930,12,42,2004.79,0.6999
931,12,44,1896.55,0.724
932,12,45,error,error
933,12,46,2813.3,0.9214
934,12,47,error,error
935,12,48,error,error
936,12,49,error,error
937,12,51,error,error
938,12,52,error,error
939,12,54,error,error
940,12,55,2205.3,0.7705
941,12,56,3984.15,-2.644
942,12,58,error,error
943,12,59,90.5,0.6594
944,12,60,109.62,0.6943
945,12,67,1697.79,0.7247
946,12,71,2498.3,0.6521
947,12,72,error,error
948,12,74,3740.69,0.7732
949,12,77,error,error
950,12,78,error,error
951,12,79,4462.87,0.897
952,12,80,error,error
953,12,81,3946.04,0.4657
954,12,82,1054.53,0.9337
955,12,83,90.97,0.6159
956,12,85,351.08,0.8284
957,12,87,1915.8,0.8539
958,12,90,2870.75,0.7581
959,12,91,794.61,0.8892
960,12,92,11045.4,0.5592
961,12,93,413.85,0.3944
962,12,94,error,error
963,12,95,12478.69,0.7171
964,12,96,error,error
965,12,97,278.05,0.8871
966,12,98,216.11,0.6125
967,12,99,error,error
968,12,39,error,error
969,12,50,error,error
970,12,43,error,error
971,12,65,error,error
972,13,1,30109.52,0.3329
973,13,2,3153.37,0.9596
974,13,3,21681.35,0.2742
975,13,4,2103.77,0.9538
976,13,5,17422.69,0.6123
977,13,6,1868.6,0.6699
978,13,7,8690.95,0.8425
979,13,8,error,error
980,13,9,6686.87,0.861
981,13,10,error,error
982,13,11,2479.91,0.8827
983,13,12,2104.75,0.7548
984,13,13,3190.22,0.935
