,Store,Department,RMSE,Actual Average Weekly Sales,Accuracy,LM Used
370,5,51,error,error,error,error
371,5,52,114.7,370.52,0.6904,lm-1
372,5,54,22.87,25.91,0.1175,lm-3
373,5,55,477.35,2877.17,0.8341,lm-2
374,5,56,369.26,493.97,0.2525,lm-1
375,5,58,808.41,894.64,0.0964,lm-1
376,5,59,15.27,0.51,-29.1465,lm-3
377,5,60,57.35,236.37,0.7574,lm-2
378,5,67,309.88,2617.65,0.8816,lm-3
379,5,71,161.28,393.0,0.5896,lm-1
380,5,72,3628.13,10245.14,0.6459,lm-1
381,5,74,374.02,3308.41,0.8869,lm-1
382,5,77,error,error,error,error
383,5,78,error,error,error,error
384,5,79,468.27,5120.81,0.9086,lm-1
385,5,80,error,error,error,error
386,5,81,118.85,3048.98,0.961,lm-1
387,5,82,535.68,3898.11,0.8626,lm-1
388,5,83,error,error,error,error
389,5,85,287.09,677.75,0.5764,lm-1
390,5,87,1327.57,11151.45,0.881,lm-3
391,5,90,194.08,3263.64,0.9405,lm-1
392,5,91,138.58,1662.09,0.9166,lm-3
393,5,92,529.2,8663.37,0.9389,lm-1
394,5,93,error,error,error,error
395,5,94,152.36,129.65,-0.1752,lm-1
396,5,95,1056.57,21495.46,0.9508,lm-1
397,5,96,598.23,8067.45,0.9258,lm-1
398,5,97,83.38,666.29,0.8749,lm-1
399,5,98,31.93,32.92,0.0298,lm-3
400,5,99,error,error,error,error
401,5,39,error,error,error,error
402,5,50,error,error,error,error
403,5,43,error,error,error,error
404,5,65,error,error,error,error
405,6,1,1708.39,20313.39,0.9159,lm-3
406,6,2,2637.21,52304.81,0.9496,lm-1
407,6,3,7786.86,23868.66,0.6738,lm-2
408,6,4,1900.58,35253.34,0.9461,lm-2
409,6,5,4399.32,28073.73,0.8433,lm-1
410,6,6,1300.7,5328.2,0.7559,lm-3
411,6,7,3540.22,27727.07,0.8723,lm-1
412,6,8,1768.06,48728.68,0.9637,lm-1
413,6,9,6330.23,54901.86,0.8847,lm-1
414,6,10,4093.44,49965.05,0.9181,lm-1
415,6,11,3048.3,21277.78,0.8567,lm-3
416,6,12,565.22,6484.64,0.9128,lm-2
417,6,13,2395.64,38343.31,0.9375,lm-1
418,6,14,2463.72,23182.61,0.8937,lm-1
419,6,16,2540.27,24390.28,0.8958,lm-1
420,6,17,1645.52,15548.44,0.8942,lm-3
421,6,18,1340.96,7465.25,0.8204,lm-1
422,6,19,282.96,3033.36,0.9067,lm-1
423,6,20,1188.05,9321.88,0.8726,lm-1
424,6,21,549.66,7921.03,0.9306,lm-2
425,6,22,2717.02,17709.8,0.8466,lm-2
426,6,23,5099.66,29247.34,0.8256,lm-1
427,6,24,2528.25,6839.52,0.6303,lm-1
428,6,25,992.02,11847.29,0.9163,lm-1
429,6,26,1628.08,8203.36,0.8015,lm-1
430,6,27,284.33,1455.64,0.8047,lm-1
431,6,28,81.5,404.23,0.7984,lm-3
432,6,29,678.28,6037.41,0.8877,lm-3
433,6,30,566.6,4550.24,0.8755,lm-2
434,6,31,1105.89,4049.22,0.7269,lm-1
435,6,32,1722.17,9619.78,0.821,lm-3
436,6,33,1970.36,7319.17,0.7308,lm-1
437,6,34,1730.28,16504.98,0.8952,lm-2
438,6,35,577.05,3042.43,0.8103,lm-2
439,6,36,586.59,3191.59,0.8162,lm-1
440,6,37,330.04,3940.21,0.9162,lm-1
441,6,38,6964.04,70815.06,0.9017,lm-1
442,6,40,1992.69,66230.7,0.9699,lm-1
443,6,41,1399.21,3271.46,0.5723,lm-1
444,6,42,613.62,9848.78,0.9377,lm-1
445,6,44,728.71,8846.44,0.9176,lm-2
446,6,45,error,error,error,error
447,6,46,1646.77,25170.86,0.9346,lm-1
448,6,47,466.05,223.5,-1.0852,lm-2
449,6,48,1029.45,2842.95,0.6379,lm-3
450,6,49,2033.87,12392.47,0.8359,lm-1
451,6,51,error,error,error,error
452,6,52,456.72,4001.36,0.8859,lm-3
453,6,54,95.78,62.94,-0.5217,lm-2
454,6,55,1492.56,10140.72,0.8528,lm-3
455,6,56,702.53,1856.93,0.6217,lm-1
456,6,58,1597.66,3612.37,0.5577,lm-1
457,6,59,153.73,216.92,0.2913,lm-2
458,6,60,63.08,341.53,0.8153,lm-2
459,6,67,1132.12,9673.59,0.883,lm-2
460,6,71,1064.57,5403.34,0.803,lm-2
461,6,72,5584.87,73668.89,0.9242,lm-1
462,6,74,1728.0,21610.68,0.92,lm-2
463,6,77,1293.63,-21.63,60.8072,lm-1
464,6,78,error,error,error,error
465,6,79,1644.65,24186.45,0.932,lm-1
466,6,80,764.28,14451.81,0.9471,lm-2
467,6,81,959.9,15440.42,0.9378,lm-1
468,6,82,1928.95,19555.96,0.9014,lm-1
469,6,83,418.69,3822.25,0.8905,lm-1
470,6,85,461.72,2039.31,0.7736,lm-1
471,6,87,3544.52,47191.57,0.9249,lm-1
472,6,90,3128.6,53788.95,0.9418,lm-1
473,6,91,1894.9,45458.68,0.9583,lm-3
474,6,92,4865.47,100849.94,0.9518,lm-1
475,6,93,4731.28,44674.49,0.8941,lm-3
476,6,94,3091.31,43996.51,0.9297,lm-1
477,6,95,5725.62,95700.19,0.9402,lm-1
478,6,96,2501.06,32920.9,0.924,lm-1
479,6,97,1622.29,21527.38,0.9246,lm-1
480,6,98,829.47,9954.04,0.9167,lm-1
481,6,99,363.66,77.73,-3.6786,lm-1
482,6,39,error,error,error,error
483,6,50,error,error,error,error
484,6,43,error,error,error,error
485,6,65,error,error,error,error
486,7,1,963.19,8867.5,0.8914,lm-3
487,7,2,1209.77,25083.97,0.9518,lm-3
488,7,3,1872.08,11445.01,0.8364,lm-3
489,7,4,1351.3,17132.09,0.9211,lm-3
490,7,5,2718.66,10708.23,0.7461,lm-1
491,7,6,1305.44,5220.1,0.7499,lm-1
492,7,7,1838.76,10298.84,0.8215,lm-1
493,7,8,883.88,15192.41,0.9418,lm-1
494,7,9,13494.69,46333.03,0.7087,lm-3
495,7,10,1956.54,20190.59,0.9031,lm-1
496,7,11,4036.92,14736.25,0.7261,lm-1
497,7,12,1827.6,5931.05,0.6919,lm-1
498,7,13,880.25,16870.05,0.9478,lm-3
499,7,14,1343.91,10729.38,0.8747,lm-1
500,7,16,3692.08,16237.24,0.7726,lm-3
501,7,17,844.03,5270.0,0.8398,lm-1
502,7,18,1027.34,2601.52,0.6051,lm-3
503,7,19,error,error,error,error
504,7,20,430.63,3764.56,0.8856,lm-1
505,7,21,334.11,2267.24,0.8526,lm-1
506,7,22,1260.57,7642.66,0.8351,lm-3
507,7,23,1366.01,14621.86,0.9066,lm-1
508,7,24,973.82,2450.37,0.6026,lm-1
509,7,25,877.78,5339.52,0.8356,lm-1
510,7,26,378.15,2100.77,0.82,lm-1
511,7,27,153.37,791.97,0.8063,lm-1
512,7,28,67.59,188.87,0.6421,lm-1
513,7,29,207.85,1332.18,0.844,lm-1
514,7,30,256.21,1198.27,0.7862,lm-1
515,7,31,512.76,1839.35,0.7212,lm-1
516,7,32,707.61,4112.33,0.8279,lm-1
517,7,33,521.36,2594.74,0.7991,lm-3
518,7,34,618.14,4431.22,0.8605,lm-3
519,7,35,165.94,107.5,-0.5437,lm-2
520,7,36,770.06,1300.14,0.4077,lm-1
521,7,37,error,error,error,error
522,7,38,4511.78,31476.99,0.8567,lm-1
523,7,40,1817.69,32788.15,0.9446,lm-1
524,7,41,498.72,2397.78,0.792,lm-1
525,7,42,783.23,7058.91,0.889,lm-2
526,7,44,440.22,3529.64,0.8753,lm-1
527,7,45,35.92,37.74,0.0482,lm-3
528,7,46,2357.15,15997.35,0.8527,lm-3
529,7,47,32.64,-187.0,1.1746,lm-2
530,7,48,1332.71,2525.21,0.4722,lm-3
531,7,49,55.51,21.48,-1.5837,lm-1
532,7,51,1946.65,1.98,-982.156,lm-1
533,7,52,263.29,1130.18,0.767,lm-1
534,7,54,26.48,34.64,0.2353,lm-3
535,7,55,1640.12,4573.52,0.6414,lm-1
536,7,56,3005.88,7190.16,0.5819,lm-3
537,7,58,1498.97,1604.46,0.0658,lm-3
538,7,59,7.53,2.64,-1.8475,lm-1
539,7,60,41.5,97.58,0.5747,lm-1
540,7,67,377.4,3925.4,0.9039,lm-1
541,7,71,407.5,2153.09,0.8107,lm-1
542,7,72,14182.96,42806.85,0.6687,lm-1
543,7,74,1169.02,11086.66,0.8946,lm-1
